snapped_at,price,market_cap,total_volume
2019-11-17 00:00:00 UTC,0.010277496233952957,0.0,23245378.461334463
2019-11-18 00:00:00 UTC,0.010130738182042182,0.0,13653938.312069887
2019-11-19 00:00:00 UTC,0.009405103742987045,0.0,13496050.684510563
2019-11-20 00:00:00 UTC,0.007865065462920115,0.0,14442422.765206246
2019-11-21 00:00:00 UTC,0.008843753299679529,0.0,15765069.416135104
2019-11-22 00:00:00 UTC,0.009131723971613354,0.0,19896773.564498737
2019-11-23 00:00:00 UTC,0.008483017618372987,0.0,15600778.218009928
2019-11-24 00:00:00 UTC,0.008379672275921684,0.0,13349064.858158302
2019-11-25 00:00:00 UTC,0.00820881428339904,0.0,10793543.128282577
2019-11-26 00:00:00 UTC,0.008413814204351607,0.0,13888481.021027027
2019-11-27 00:00:00 UTC,0.008059168325588627,0.0,10609403.237164846
2019-11-28 00:00:00 UTC,0.00847676512523338,0.0,9272686.767291
2019-11-29 00:00:00 UTC,0.00805854933457369,0.0,6667867.336008532
2019-11-30 00:00:00 UTC,0.008344603575423682,0.0,7004406.766789395
2019-12-01 00:00:00 UTC,0.008035829991046083,0.0,7285352.165207849
2019-12-02 00:00:00 UTC,0.008070599472454644,0.0,6463845.55058029
2019-12-03 00:00:00 UTC,0.007986197909451622,100279977.16563381,6889029.775704692
2019-12-04 00:00:00 UTC,0.007869011959657161,98878639.73055111,7059600.930800447
2019-12-05 00:00:00 UTC,0.007754539410460751,97932080.7600859,7770897.575277493
2019-12-06 00:00:00 UTC,0.007884950320599125,99279125.19200905,8745314.444109011
2019-12-07 00:00:00 UTC,0.007918438374866584,99664884.1783826,6090664.282065603
2019-12-08 00:00:00 UTC,0.007935770045879491,99838762.83052255,4850404.180579174
2019-12-09 00:00:00 UTC,0.008318923559749888,104986758.74879406,6758382.075948032
2019-12-10 00:00:00 UTC,0.008533452239178774,107776580.7300367,9928750.657202126
2019-12-11 00:00:00 UTC,0.007869435937570987,99576952.95225741,7212358.950859856
2019-12-12 00:00:00 UTC,0.007829000082100825,99298948.91487762,5172268.024975559
2019-12-13 00:00:00 UTC,0.007760974135682663,98356828.8187352,4479467.558375222
2019-12-14 00:00:00 UTC,0.007817494182876236,98956994.12525417,4409566.391817059
2019-12-15 00:00:00 UTC,0.00815509648496704,103502045.40481587,7071442.387123784
2019-12-16 00:00:00 UTC,0.008308327422267515,105596222.49069868,5879751.415538738
2019-12-17 00:00:00 UTC,0.00800725458387324,101273832.85554945,6587311.02166393
2019-12-18 00:00:00 UTC,0.007751780020979793,98054414.95651594,7747072.995543
2019-12-19 00:00:00 UTC,0.008138395334186624,102900242.84978926,8186553.81214383
2019-12-20 00:00:00 UTC,0.008291354959773723,105136875.87309168,10036908.174315104
2019-12-21 00:00:00 UTC,0.008413845231200132,106503376.2261459,8542346.13262497
2019-12-22 00:00:00 UTC,0.008153841991272278,103346793.14662455,6701514.195605983
2019-12-23 00:00:00 UTC,0.008194101469724805,103937630.38430554,7687030.376987709
2019-12-24 00:00:00 UTC,0.008031683498757497,102580750.11220749,6741807.015145688
2019-12-25 00:00:00 UTC,0.008094240634407076,102836682.86219075,6066499.445476366
2019-12-26 00:00:00 UTC,0.007889514652285275,100371222.03481999,4755170.314413079
2019-12-27 00:00:00 UTC,0.007893602018088365,100531409.68164635,6603456.115158677
2019-12-28 00:00:00 UTC,0.007805184915447507,99472828.16756335,6103106.285597049
2019-12-29 00:00:00 UTC,0.007630833290850995,97370581.79265498,5827187.559862097
2019-12-30 00:00:00 UTC,0.007691692206389473,98274304.25642003,5829236.515989692
2019-12-31 00:00:00 UTC,0.00749548266728159,95777740.40846626,3985216.403867808
2020-01-01 00:00:00 UTC,0.006933156303071844,88731067.08228777,6398394.52619169
2020-01-02 00:00:00 UTC,0.006891051933389259,88229090.90076873,6058459.774491878
2020-01-03 00:00:00 UTC,0.0064513703040285615,82860340.22286335,5420908.393815074
2020-01-04 00:00:00 UTC,0.0065554779456941025,83989499.17409186,5598800.724111928
2020-01-05 00:00:00 UTC,0.006474052372588313,83133787.16288772,5222491.956489177
2020-01-06 00:00:00 UTC,0.006462420150975743,83020525.5604237,5489442.832053113
2020-01-07 00:00:00 UTC,0.00643604185254007,82902908.4071539,5505243.235109071
2020-01-08 00:00:00 UTC,0.0066008395956965275,84652621.11223565,5819266.330826272
2020-01-09 00:00:00 UTC,0.006875892133556456,88785948.34507428,7720740.7579341605
2020-01-10 00:00:00 UTC,0.006696239964742781,86565577.51621412,6603425.0207707975
2020-01-11 00:00:00 UTC,0.0066994606767163374,86733319.79519948,6914112.450864036
2020-01-12 00:00:00 UTC,0.006464626585986471,83776012.31098254,5929322.478185799
2020-01-13 00:00:00 UTC,0.006447717482945987,83063489.61984831,4666244.317718464
2020-01-14 00:00:00 UTC,0.006076442791101045,78816372.70734987,5790623.238087999
2020-01-15 00:00:00 UTC,0.006824786204341777,88033008.33211957,10090714.333980652
2020-01-16 00:00:00 UTC,0.006432893428039752,83424552.92042464,7344431.381286248
2020-01-17 00:00:00 UTC,0.006239454448957739,81219698.06238174,6087334.257882485
2020-01-18 00:00:00 UTC,0.006114475252213393,79576158.60104044,6213619.271151265
2020-01-19 00:00:00 UTC,0.0060229318625896954,78545259.70257789,5207542.04653434
2020-01-20 00:00:00 UTC,0.005047626885117767,65487231.06326093,9190006.78867591
2020-01-21 00:00:00 UTC,0.005070942088228236,66622451.63620733,5008692.430614518
2020-01-22 00:00:00 UTC,0.005578312361780953,73366322.33200476,7727890.147539446
